code_postal,nombre_pharmacies,population
53160,1,5061.0
53170,1,8699.0
53200,3,26136.0
53210,1,5120.0
53220,1,4341.0
53240,1,9706.0
53400,2,7663.0
53410,1,10270.0
53440,1,5266.0
53940,2,11338.0
53970,1,7000.0
54000,6,104260.0
54113,1,3188.0
54120,2,7683.0
54140,1,9374.0
54200,4,30993.0
54230,1,11937.0
54240,1,6560.0
54250,1,6594.0
54270,1,8782.0
54280,1,9383.0
54300,4,27196.0
54360,1,9789.0
54410,1,6551.0
54420,1,4835.0
54430,1,3793.0
54500,1,29537.0
54520,1,14671.0
54560,1,5160.0
54580,1,4139.0
54600,1,14761.0
54620,1,3701.0
54680,1,2244.0
54710,1,8283.0
54760,1,4267.0
54790,1,7996.0
54800,3,19185.0
54830,1,2202.0
54920,1,2629.0
54930,1,1319.0
55000,4,29534.0
55120,1,5014.0
55150,1,3494.0
55200,2,11810.0
55210,1,4040.0
55270,1,1908.0
55400,2,7563.0
55500,1,9116.0
55800,1,7117.0
55840,1,3179.0
56000,2,54420.0
56100,4,57846.0
56110,1,5132.0
56130,2,18564.0
56150,2,9252.0
56170,1,5004.0
56190,1,16304.0
56220,1,11602.0
56230,1,13518.0
56240,1,11601.0
56270,2,18591.0
56300,2,22787.0
56310,1,10998.0
56320,1,6414.0
56340,2,6484.0
56370,1,10214.0
56390,1,13166.0
56400,1,42534.0
56450,1,15159.0
56500,1,23632.0
56510,1,2236.0
56520,1,11947.0
56550,1,7341.0
56570,1,4075.0
56600,2,23026.0
56640,1,2269.0
56650,1,6571.0
56670,1,5772.0
56680,1,6034.0
56700,3,28682.0
56740,1,1557.0
56800,2,22589.0
56870,1,5507.0
56890,3,20429.0
56910,1,3501.0
57000,2,120874.0
57050,1,133210.0
57070,1,126394.0
57100,3,45173.0
57120,1,11175.0
57130,1,11400.0
57155,1,9971.0
57160,1,11739.0
57190,1,11869.0
57230,1,8654.0
57290,3,18972.0
57300,1,17609.0
57390,1,9446.0
57440,1,7398.0
57455,1,1717.0
57470,1,6946.0
57510,1,10519.0
57535,1,7038.0
57600,1,27844.0
57630,1,2377.0
57645,1,4917.0
57780,1,2485.0
57790,1,2280.0
57800,1,19122.0
57840,1,3260.0
57950,2,21854.0
58000,4,38059.0
58110,1,4174.0
58140,1,3619.0
58470,1,2197.0
58500,1,5741.0
58600,2,7722.0
58640,1,9180.0
58800,1,4123.0
59000,5,236710.0
59100,3,98892.0
59110,1,22488.0
59113,2,12834.0
59117,1,5299.0
59118,2,10798.0
59119,1,7354.0
59120,2,23013.0
59123,1,5960.0
59126,3,8192.0
59128,1,5642.0
59130,5,27121.0
59131,1,4043.0
59135,1,6927.0
59136,1,7773.0
59137,1,2435.0
59139,1,16376.0
59149,1,2909.0
59150,5,40836.0
59153,1,4977.0
59155,1,18110.0
59156,1,3814.0
59160,4,239184.0
59163,1,10552.0
59168,1,3157.0
59170,3,20778.0
59172,1,4668.0
59179,1,5529.0
59180,2,7899.0
59182,1,5395.0
59184,1,5641.0
59187,1,5351.0
59189,1,3307.0
59190,2,29393.0
59192,1,6784.0
59194,1,3553.0
59199,1,6145.0
59200,3,99011.0
59210,1,20765.0
59213,1,3396.0
59220,2,22913.0
59223,2,13784.0
59229,1,9881.0
59231,1,2132.0
59240,3,86788.0
59242,2,11792.0
59249,1,2798.0
59250,1,20829.0
59251,1,3567.0
59260,2,239729.0
59263,1,3275.0
59264,1,8719.0
59267,1,3798.0
59269,1,2574.0
59270,1,24381.0
59274,1,1982.0
59279,2,93576.0
59280,1,27374.0
59282,1,10880.0
59290,2,20836.0
59299,1,2179.0
59300,6,52649.0
59310,2,27841.0
59320,1,31495.0
59370,4,21467.0
59380,1,24831.0
59390,2,21452.0
59400,4,37760.0
59410,1,13422.0
59430,1,86788.0
59440,1,11690.0
59450,1,15603.0
59460,1,10342.0
59470,1,16937.0
59490,1,13140.0
59500,1,39648.0
59510,1,20372.0
59530,2,13925.0
59550,1,8350.0
59553,3,8955.0
59560,1,12905.0
59570,1,12648.0
59580,2,10819.0
59590,1,12055.0
59600,2,35752.0
59650,4,62067.0
59660,1,11053.0
59690,1,10446.0
59700,3,39356.0
59760,3,20331.0
59780,1,10674.0
59790,1,19437.0
59800,4,236710.0
59820,2,11519.0
59840,2,12761.0
59850,1,7606.0
59870,1,11081.0
59880,1,11117.0
59910,2,9713.0
59930,1,8719.0
59990,1,10452.0
60000,3,64111.0
60120,1,13300.0
60130,1,16238.0
60150,2,15534.0
60180,1,21382.0
60190,1,16363.0
60200,4,40394.0
60210,1,8294.0
60220,1,8231.0
60260,1,8993.0
60280,2,14209.0
60290,1,14943.0
60310,1,8454.0
60400,2,25600.0
60410,1,6705.0
60440,1,8213.0
60500,2,12035.0
60520,1,5090.0
60540,1,6316.0
60640,1,5426.0
60690,1,3478.0
60800,2,19062.0
60870,1,10134.0
61000,4,30110.0
61140,1,7742.0
61150,2,5657.0
61190,1,4718.0
61200,2,22454.0
61210,1,4961.0
61240,1,2624.0
61250,1,14393.0
61260,1,5134.0
61350,1,3017.0
61400,2,10549.0
61420,1,3156.0
61440,1,2708.0
61470,1,4529.0
61600,1,12382.0
61700,1,8327.0
61800,1,8220.0
62000,3,48303.0
62100,6,67380.0
62110,2,26035.0
62111,1,3316.0
62114,1,5995.0
62118,2,9439.0
62119,1,5997.0
62120,2,27211.0
62123,1,6122.0
62126,1,4942.0
62132,1,3458.0
62138,1,23735.0
62140,1,11651.0
62143,1,4842.0
62147,1,2330.0
62153,1,4597.0
62157,1,2852.0
62160,3,22838.0
62161,1,4793.0
62170,3,15237.0
62200,6,40910.0
62217,1,19147.0
62220,2,17852.0
62223,2,20739.0
62230,1,13270.0
62232,1,13370.0
62240,2,12628.0
62250,2,11911.0
62270,1,7841.0
62290,1,11520.0
62300,2,35447.0
62310,2,6434.0
62330,2,10018.0
62340,2,10848.0
62360,2,18012.0
62390,2,4909.0
62400,2,29089.0
62410,2,16169.0
62420,1,8117.0
62430,1,9650.0
62450,1,7394.0
62460,1,8351.0
62480,2,8897.0
62490,1,9743.0
62500,1,24832.0
62540,2,6779.0
62575,2,6287.0
62580,1,14816.0
62590,1,10210.0
62600,1,14794.0
62610,1,10086.0
62640,1,9870.0
62660,2,9111.0
62670,2,8068.0
62680,1,11431.0
62700,1,21827.0
62720,1,5953.0
62800,2,30149.0
62810,1,6534.0
62820,1,8138.0
62840,1,14742.0
